date,underlying,close
2026-07-29,BHP,42.10
2026-07-29,CBA,173.84
2026-07-30,BHP,42.20
2026-07-30,CBA,173.68
2026-07-31,BHP,42.05
2026-07-31,CBA,173.90
2026-08-01,BHP,42.15
2026-08-01,CBA,173.74
2026-08-02,BHP,42.25
2026-08-02,CBA,173.58
2026-08-03,BHP,42.10
2026-08-03,CBA,173.80
2026-08-04,BHP,42.20
2026-08-04,CBA,173.64
2026-08-05,BHP,42.30
2026-08-05,CBA,173.48
2026-08-06,BHP,42.15
2026-08-06,CBA,173.70
2026-08-07,BHP,42.25
2026-08-07,CBA,173.54
2026-08-08,BHP,42.35
2026-08-08,CBA,173.38
2026-08-09,BHP,42.20
2026-08-09,CBA,173.60
2026-08-10,BHP,42.30
2026-08-10,CBA,173.44
2026-08-11,BHP,42.40
2026-08-11,CBA,173.28
2026-08-12,BHP,42.25
2026-08-12,CBA,173.50
2026-08-13,BHP,42.35
2026-08-13,CBA,173.34
2026-08-14,BHP,42.45
2026-08-14,CBA,173.18
2026-08-15,BHP,42.30
2026-08-15,CBA,173.40
2026-08-16,BHP,42.40
2026-08-16,CBA,173.24
2026-08-17,BHP,42.50
2026-08-17,CBA,173.08
2026-08-18,BHP,42.35
2026-08-18,CBA,173.30
2026-08-19,BHP,42.45
2026-08-19,CBA,173.14
2026-08-20,BHP,42.55
2026-08-20,CBA,172.98
2026-08-21,BHP,42.40
2026-08-21,CBA,173.20
2026-08-22,BHP,42.50
2026-08-22,CBA,173.04
2026-08-23,BHP,42.60
2026-08-23,CBA,172.88
2026-08-24,BHP,42.45
2026-08-24,CBA,173.10
2026-08-25,BHP,42.55
2026-08-25,CBA,172.94
2026-08-26,BHP,42.65
2026-08-26,CBA,172.78
2026-08-27,BHP,42.50
2026-08-27,CBA,173.00
2026-08-28,BHP,42.60
2026-08-28,CBA,172.84
2026-08-29,BHP,42.70
2026-08-29,CBA,172.68
2026-08-30,BHP,42.55
2026-08-30,CBA,172.90
2026-08-31,BHP,42.65
2026-08-31,CBA,172.74
2026-09-01,BHP,42.75
2026-09-01,CBA,172.58
2026-09-02,BHP,42.60
2026-09-02,CBA,172.80
2026-09-03,BHP,42.70
2026-09-03,CBA,172.64
2026-09-04,BHP,42.80
2026-09-04,CBA,172.48
2026-09-05,BHP,42.65
2026-09-05,CBA,172.70
2026-09-06,BHP,42.75
2026-09-06,CBA,172.54
2026-09-07,BHP,42.85
2026-09-07,CBA,172.38
2026-09-08,BHP,42.70
2026-09-08,CBA,172.60
2026-09-09,BHP,42.80
2026-09-09,CBA,172.44
2026-09-10,BHP,42.90
2026-09-10,CBA,172.28
2026-09-11,BHP,42.75
2026-09-11,CBA,172.50
2026-09-12,BHP,42.85
2026-09-12,CBA,172.34
2026-09-13,BHP,42.95
2026-09-13,CBA,172.18
2026-09-14,BHP,42.80
2026-09-14,CBA,172.40
2026-09-15,BHP,42.90
2026-09-15,CBA,172.24
2026-09-16,BHP,43.00
2026-09-16,CBA,172.08
2026-09-17,BHP,42.85
2026-09-17,CBA,172.30
2026-09-18,BHP,42.95
2026-09-18,CBA,172.14
2026-09-19,BHP,43.05
2026-09-19,CBA,171.98
2026-09-20,BHP,42.90
2026-09-20,CBA,172.20
2026-09-21,BHP,43.00
2026-09-21,CBA,172.04
